"common_name","num_observed","observed_on"
"bigtooth aspen",1,"2019-01-22"
"common bracken",1,"2019-01-22"
"common motherwort",1,"2019-01-22"
"eastern hemlock",1,"2019-01-22"
"harebell",1,"2019-01-22"
"Jack pine",1,"2019-01-22"
"paper birch",1,"2019-01-22"
"red maple",2,"2019-01-22"
"red pine",1,"2019-01-22"
"rusty woodsia",1,"2019-01-22"
"Scots pine",1,"2019-01-22"
"trembling aspen",1,"2019-01-22"
"northern red oak",1,"2019-01-23"
"Whorled plectranthus",1,"2019-01-23"
"brocade moss",1,"2019-01-24"
"guelder-rose",1,"2019-01-24"
"eastern black nightshade",1,"2019-01-28"
"Leatherleaf viburnum",1,"2019-02-01"
"American beech",1,"2019-02-02"
"guelder-rose",1,"2019-02-03"
"yellow birch",1,"2019-02-03"
"Canada goldenrod",1,"2019-02-04"
"eastern black walnut",1,"2019-02-04"
"European reed",1,"2019-02-04"
"hybrid bulrush",1,"2019-02-04"
"northern red oak",1,"2019-02-04"
"purple loosestrife",1,"2019-02-04"
"swamp milkweed",1,"2019-02-04"
"Borage",1,"2019-02-05"
"eastern cottonwood",1,"2019-02-05"
"Oriental bittersweet",1,"2019-02-05"
"aloe vera",1,"2019-02-06"
"Chinese money plant",1,"2019-02-06"
"Common Box",1,"2019-02-06"
"common hackberry",1,"2019-02-06"
"Dove's-foot crane's-bill",1,"2019-02-06"
"eastern cottonwood",1,"2019-02-06"
"European beech",1,"2019-02-06"
"Fiddle-leaf Fig",1,"2019-02-06"
"fortune's spindle",1,"2019-02-06"
"Golden Pothos",1,"2019-02-06"
"Sea Sandwort",1,"2019-02-06"
"small ballmoss",1,"2019-02-06"
"Snake Plant",1,"2019-02-06"
"Spider plant",1,"2019-02-06"
"String of Bananas",1,"2019-02-06"
"String-of-beads",1,"2019-02-06"
"trembling aspen",1,"2019-02-06"
"Lucky Bamboo",1,"2019-02-07"
"Avocado",1,"2019-02-08"
"Blushing Bride Airplant",1,"2019-02-08"
"eastern hemlock",1,"2019-02-08"
"jade plant",1,"2019-02-08"
"rubber plant",1,"2019-02-08"
"Anomodon Moss",1,"2019-02-09"
"balsam fir",1,"2019-02-09"
"black spruce",1,"2019-02-09"
"bluestem goldenrod",1,"2019-02-09"
"northern whitecedar",1,"2019-02-09"
"rubber plant",1,"2019-02-09"
"Scots pine",1,"2019-02-09"
"American beech",1,"2019-02-10"
"common hackberry",1,"2019-02-10"
"eastern cottonwood",1,"2019-02-10"
"wild cucumber",1,"2019-02-10"
"Chinese pistache",1,"2019-02-13"
"American sweetgum",1,"2019-02-16"
"common yucca",1,"2019-02-16"
"Oriental bittersweet",1,"2019-02-16"
"American witch-hazel",1,"2019-02-17"
"bigtooth aspen",1,"2019-02-17"
"little bluestem",1,"2019-02-17"
"rough cocklebur",1,"2019-02-17"
"white oak",1,"2019-02-18"
"American pokeweed",1,"2019-02-19"
"black oak",2,"2019-02-19"
"eastern redcedar",1,"2019-02-19"
"Scots pine",1,"2019-02-19"
"American elm",1,"2019-02-20"
"tsutsusi azalea",1,"2019-02-20"
"Variegated Croton",1,"2019-02-20"
"Hyacinth",1,"2019-02-22"
"Coppertone Stonecrop",1,"2019-02-23"
"eastern white pine",1,"2019-02-23"
"green ash",1,"2019-02-23"
"northern red oak",1,"2019-02-23"
"Begonias",1,"2019-02-25"
"paper birch",1,"2019-02-25"
"eastern white pine",1,"2019-02-28"
"painter's-palette",1,"2019-03-01"
"Winter Aconite",1,"2019-03-01"
"red pine",1,"2019-03-02"
"Sago cycad",1,"2019-03-03"
"great mullein",1,"2019-03-07"
"hairy white oldfield aster",1,"2019-03-07"
"spotted knapweed",1,"2019-03-07"
"American beech",1,"2019-03-08"
"balsam fir",1,"2019-03-08"
"northern whitecedar",1,"2019-03-08"
"paper birch",2,"2019-03-08"
"yellow birch",1,"2019-03-08"
"common ivy",1,"2019-03-09"
"winged euonymus",1,"2019-03-09"
"eastern redcedar",1,"2019-03-10"
"American sweetgum",1,"2019-03-11"
"rough horsetail",1,"2019-03-11"
"common snowdrop",1,"2019-03-12"
"eastern black walnut",1,"2019-03-12"
"eastern skunk cabbage",2,"2019-03-12"
"lesser periwinkle",1,"2019-03-12"
"red maple",1,"2019-03-12"
"sugar maple",2,"2019-03-12"
"white oak",1,"2019-03-12"
"eastern skunk cabbage",1,"2019-03-13"
"Flat-brocade Moss",1,"2019-03-13"
"greater snowdrop",1,"2019-03-13"
"wild teasel",1,"2019-03-13"
"Winter Aconite",1,"2019-03-13"
"American sycamore",1,"2019-03-14"
"calla lily",1,"2019-03-14"
"common snowdrop",1,"2019-03-14"
"guelder-rose",1,"2019-03-14"
"Long-leaf wax flower",1,"2019-03-14"
"eastern hemlock",1,"2019-03-16"
"winged euonymus",1,"2019-03-16"
"Labrador tea",1,"2019-03-17"
"red osier dogwood",1,"2019-03-18"
"tulip tree",1,"2019-03-18"
"American beech",2,"2019-03-19"
"American sweetgum",1,"2019-03-19"
"American Wall Scalewort",1,"2019-03-19"
"balsam fir",1,"2019-03-19"
"beaked hazelnut",1,"2019-03-19"
"bearberry",1,"2019-03-19"
"bigtooth aspen",1,"2019-03-19"
"black spruce",1,"2019-03-19"
"bog myrtle",1,"2019-03-19"
"Common Alder",1,"2019-03-19"
"common bracken",1,"2019-03-19"
"Common Dewberry",1,"2019-03-19"
"common juniper",1,"2019-03-19"
"common snowdrop",1,"2019-03-19"
"eastern skunk cabbage",4,"2019-03-19"
"eastern white pine",1,"2019-03-19"
"Fir Tamarisk-moss",1,"2019-03-19"
"Flat-leaved Scalewort",1,"2019-03-19"
"Golden Pothos",1,"2019-03-19"
"ground-ivy",1,"2019-03-19"
"Hedwig's fringeleaf moss",1,"2019-03-19"
"Kentucky coffeetree",1,"2019-03-19"
"marginal wood fern",1,"2019-03-19"
"Mountain Maple",1,"2019-03-19"
"Narrowleaf Pinweed",1,"2019-03-19"
"northern bush honeysuckle",1,"2019-03-19"
"northern red oak",1,"2019-03-19"
"Norway spruce",1,"2019-03-19"
"pussy willow",1,"2019-03-19"
"red maple",1,"2019-03-19"
"red pine",1,"2019-03-19"
"Red-stemmed Feather Moss",1,"2019-03-19"
"rock polypody",1,"2019-03-19"
"rock spikemoss",1,"2019-03-19"
"round-lobed hepatica",1,"2019-03-19"
"swamp rose",1,"2019-03-19"
"Tall Cinquefoil",1,"2019-03-19"
"Virginia strawberry",1,"2019-03-19"
"Weeping fig",1,"2019-03-19"
"white spruce",1,"2019-03-19"
"winterberry holly",1,"2019-03-19"
"black cherry",1,"2019-03-20"
"tulip tree",1,"2019-03-20"
"American beech",1,"2019-03-21"
"American bladdernut",1,"2019-03-21"
"autumn olive",1,"2019-03-21"
"balsam fir",1,"2019-03-21"
"black spruce",1,"2019-03-21"
"bog myrtle",1,"2019-03-21"
"common buckthorn",1,"2019-03-21"
"common evening-primrose",2,"2019-03-21"
"common ivy",2,"2019-03-21"
"common milkweed",1,"2019-03-21"
"common motherwort",1,"2019-03-21"
"Eastern Teaberry",1,"2019-03-21"
"eastern white pine",1,"2019-03-21"
"great mullein",1,"2019-03-21"
"intermediate wood fern",1,"2019-03-21"
"leatherleaf",1,"2019-03-21"
"lesser burdock",1,"2019-03-21"
"lesser periwinkle",1,"2019-03-21"
"long-stalked sedge",1,"2019-03-21"
"northern whitecedar",1,"2019-03-21"
"pussy willow",1,"2019-03-21"
"red osier dogwood",1,"2019-03-21"
"sensitive fern",2,"2019-03-21"
"tamarack",2,"2019-03-21"
"white avens",1,"2019-03-21"
"yellow birch",2,"2019-03-21"
"Anomodon Moss",1,"2019-03-22"
"autumn olive",1,"2019-03-22"
"common chickweed",1,"2019-03-22"
"common snowdrop",1,"2019-03-22"
"dense blazing star",1,"2019-03-22"
"eastern white pine",1,"2019-03-22"
"ebony spleenwort",1,"2019-03-22"
"garlic mustard",1,"2019-03-22"
"great mullein",1,"2019-03-22"
"Heller's Rosette Grass",1,"2019-03-22"
"intermediate wood fern",1,"2019-03-22"
"Oriental bittersweet",1,"2019-03-22"
"purple loosestrife",1,"2019-03-22"
"pussy willow",1,"2019-03-22"
"red clover",1,"2019-03-22"
"red osier dogwood",1,"2019-03-22"
"ribwort plantain",2,"2019-03-22"
"spotted knapweed",1,"2019-03-22"
"swamp milkweed",1,"2019-03-22"
"Virginia creeper",1,"2019-03-22"
"Virginia strawberry",1,"2019-03-22"
"white avens",1,"2019-03-22"
"yellow birch",1,"2019-03-22"
"American Tree Moss",1,"2019-03-23"
"common reed",1,"2019-03-23"
"common snowdrop",1,"2019-03-23"
"eastern hemlock",1,"2019-03-23"
"eastern skunk cabbage",1,"2019-03-23"
"mouse-ear chickweed",1,"2019-03-23"
"Siberian squill",1,"2019-03-23"
"American beech",1,"2019-03-24"
"American hophornbeam",1,"2019-03-24"
"American hornbeam",1,"2019-03-24"
"Baby Rubber Plant",1,"2019-03-24"
"balsam fir",2,"2019-03-24"
"bearberry",1,"2019-03-24"
"black cherry",1,"2019-03-24"
"Canadian yew",1,"2019-03-24"
"common snowdrop",1,"2019-03-24"
"eastern prickly-pear cactus",1,"2019-03-24"
"eastern skunk cabbage",1,"2019-03-24"
"garlic mustard",1,"2019-03-24"
"greater snowdrop",1,"2019-03-24"
"heart-leaf philodendron",1,"2019-03-24"
"northern red oak",1,"2019-03-24"
"northern whitecedar",1,"2019-03-24"
"partridgeberry",1,"2019-03-24"
"round-lobed hepatica",1,"2019-03-24"
"white spruce",1,"2019-03-24"
"yellow birch",1,"2019-03-24"
"balsam fir",2,"2019-03-25"
"black cherry",1,"2019-03-25"
"black locust",1,"2019-03-25"
"eastern hemlock",1,"2019-03-25"
"eastern white pine",2,"2019-03-25"
"Norway spruce",1,"2019-03-25"
"paper birch",2,"2019-03-25"
"red maple",2,"2019-03-25"
"red osier dogwood",1,"2019-03-25"
"yellow birch",2,"2019-03-25"
"American witch-hazel",1,"2019-03-26"
"balsam fir",2,"2019-03-26"
"broadleaf cattail",1,"2019-03-26"
"common milkweed",1,"2019-03-26"
"dame's rocket",2,"2019-03-26"
"eastern black walnut",1,"2019-03-26"
"eastern hemlock",1,"2019-03-26"
"eastern skunk cabbage",4,"2019-03-26"
"eastern white pine",2,"2019-03-26"
"honey locust",1,"2019-03-26"
"Jack pine",2,"2019-03-26"
"Japanese andromeda",1,"2019-03-26"
"lesser periwinkle",1,"2019-03-26"
"multiflora rose",1,"2019-03-26"
"northern whitecedar",1,"2019-03-26"
"paper birch",1,"2019-03-26"
"purple pitcher plant",1,"2019-03-26"
"red osier dogwood",3,"2019-03-26"
"red pine",1,"2019-03-26"
"rough horsetail",1,"2019-03-26"
"Scots pine",1,"2019-03-26"
"tamarack",1,"2019-03-26"
"white avens",2,"2019-03-26"
"white spruce",1,"2019-03-26"
"yellow birch",1,"2019-03-26"
"Yellow Iris",1,"2019-03-26"
"broom moss",1,"2019-03-27"
"common snowdrop",1,"2019-03-27"
"lesser periwinkle",2,"2019-03-27"
"pink mountainheath",1,"2019-03-27"
"black cherry",1,"2019-03-28"
"common juniper",1,"2019-03-28"
"common milkweed",1,"2019-03-28"
"common motherwort",1,"2019-03-28"
"common reed",1,"2019-03-28"
"common snowdrop",3,"2019-03-28"
"eastern skunk cabbage",1,"2019-03-28"
"ground-ivy",1,"2019-03-28"
"hairy bittercress",1,"2019-03-28"
"Ozark Witch-hazel",1,"2019-03-28"
"pincushion moss",1,"2019-03-28"
"Prayer plant",1,"2019-03-28"
"pussy willow",1,"2019-03-28"
"round-lobed hepatica",1,"2019-03-28"
"Wall Screw-moss",1,"2019-03-28"
"Weak-leaf Yucca",1,"2019-03-28"
"white spruce",1,"2019-03-28"
"Winter Aconite",2,"2019-03-28"
"Woodsy Thyme-moss",1,"2019-03-28"
"balsam fir",2,"2019-03-29"
"beaked hazelnut",1,"2019-03-29"
"bigtooth aspen",1,"2019-03-29"
"bird's-eye speedwell",2,"2019-03-29"
"Biting Stonecrop",1,"2019-03-29"
"black spruce",1,"2019-03-29"
"Canada mayflower",1,"2019-03-29"
"chinkapin oak",1,"2019-03-29"
"common bracken",1,"2019-03-29"
"common chickweed",1,"2019-03-29"
"common dandelion",1,"2019-03-29"
"common juniper",2,"2019-03-29"
"common snowdrop",1,"2019-03-29"
"common yarrow",1,"2019-03-29"
"eastern hemlock",1,"2019-03-29"
"eastern skunk cabbage",1,"2019-03-29"
"Eastern Teaberry",1,"2019-03-29"
"eastern white pine",4,"2019-03-29"
"Ghost Pipes",1,"2019-03-29"
"grey alder",1,"2019-03-29"
"hairy bittercress",1,"2019-03-29"
"intermediate wood fern",1,"2019-03-29"
"interrupted clubmoss",1,"2019-03-29"
"Jack pine",2,"2019-03-29"
"Japanese barberry",1,"2019-03-29"
"Japanese pachysandra",1,"2019-03-29"
"large-leaved aster",1,"2019-03-29"
"leatherleaf",1,"2019-03-29"
"lowbush blueberry",1,"2019-03-29"
"narrowleaf cow wheat",1,"2019-03-29"
"northern red oak",1,"2019-03-29"
"northern whitecedar",3,"2019-03-29"
"ostrich fern",1,"2019-03-29"
"paper birch",1,"2019-03-29"
"prickly tree-clubmoss",1,"2019-03-29"
"red maple",2,"2019-03-29"
"red pine",2,"2019-03-29"
"Red-stemmed Feather Moss",1,"2019-03-29"
"ribwort plantain",1,"2019-03-29"
"rock polypody",1,"2019-03-29"
"Smooth Rupturewort",1,"2019-03-29"
"Spring Crocus",1,"2019-03-29"
"starflower",1,"2019-03-29"
"Swamp Laurel",1,"2019-03-29"
"sweetfern",1,"2019-03-29"
"tansy",1,"2019-03-29"
"thimbleberry",1,"2019-03-29"
"trailing arbutus",1,"2019-03-29"
"trembling aspen",1,"2019-03-29"
"velvetleaf blueberry",1,"2019-03-29"
"white spruce",1,"2019-03-29"
"yellow birch",1,"2019-03-29"
"American hornbeam",1,"2019-03-30"
"basswood",1,"2019-03-30"
"bristly greenbrier",1,"2019-03-30"
"broad-leaved dock",1,"2019-03-30"
"eastern skunk cabbage",1,"2019-03-30"
"fire cherry",1,"2019-03-30"
"northern whitecedar",1,"2019-03-30"
"silver maple",2,"2019-03-30"
"swamp white oak",2,"2019-03-30"
"wild cherry",1,"2019-03-30"
"wood anemone",1,"2019-03-30"
"American royal fern",1,"2019-03-31"
"balsam fir",3,"2019-03-31"
"bearberry",2,"2019-03-31"
"black spruce",3,"2019-03-31"
"bog myrtle",1,"2019-03-31"
"eastern hemlock",1,"2019-03-31"
"eastern skunk cabbage",1,"2019-03-31"
"Eastern Teaberry",1,"2019-03-31"
"eastern white pine",3,"2019-03-31"
"harbinger of spring",1,"2019-03-31"
"Jack pine",1,"2019-03-31"
"leatherleaf",1,"2019-03-31"
"marginal wood fern",2,"2019-03-31"
"Moses-in-the-cradle",1,"2019-03-31"
"northern whitecedar",3,"2019-03-31"
"paper birch",3,"2019-03-31"
"Poverty oatgrass",1,"2019-03-31"
"red maple",1,"2019-03-31"
"red pine",2,"2019-03-31"
"Rock Harlequin",1,"2019-03-31"
"rock polypody",8,"2019-03-31"
"rock spikemoss",1,"2019-03-31"
"sensitive fern",1,"2019-03-31"
"Small Pussytoes",1,"2019-03-31"
"striped maple",3,"2019-03-31"
"sugar maple",1,"2019-03-31"
"swamp rose",1,"2019-03-31"
"three-toothed cinquefoil",1,"2019-03-31"
"Timothy grass",1,"2019-03-31"
"trailing arbutus",1,"2019-03-31"
"Virginia strawberry",1,"2019-03-31"
"White-grained Mountain-ricegrass",1,"2019-03-31"
"winterberry holly",1,"2019-03-31"
"alder buckthorn",1,"2019-04-01"
"American marram grass",1,"2019-04-01"
"Baltic Rush",1,"2019-04-01"
"black locust",1,"2019-04-01"
"Black Poplar",1,"2019-04-01"
"black-eyed Susan",1,"2019-04-01"
"bog myrtle",1,"2019-04-01"
"boxelder maple",1,"2019-04-01"
"Canada wild rye",1,"2019-04-01"
"canadian bluejoint",1,"2019-04-01"
"Caucasian Stonecrop",1,"2019-04-01"
"common lilac",1,"2019-04-01"
"common milkweed",1,"2019-04-01"
"common motherwort",1,"2019-04-01"
"common ninebark",1,"2019-04-01"
"common toadflax",1,"2019-04-01"
"eastern cottonwood",1,"2019-04-01"
"eastern skunk cabbage",2,"2019-04-01"
"fen orchid",1,"2019-04-01"
"flat-topped goldenrod",1,"2019-04-01"
"great mullein",1,"2019-04-01"
"Hairy Bugseed",1,"2019-04-01"
"heath speedwell",1,"2019-04-01"
"inchplant",1,"2019-04-01"
"Indiangrass",1,"2019-04-01"
"Japanese knotweed",1,"2019-04-01"
"Knotted Rush",1,"2019-04-01"
"leatherleaf",1,"2019-04-01"
"lesser burdock",1,"2019-04-01"
"little bluestem",1,"2019-04-01"
"Norway maple",1,"2019-04-01"
"orchard grass",1,"2019-04-01"
"poison hemlock",1,"2019-04-01"
"rattlesnake mannagrass",1,"2019-04-01"
"rough horsetail",1,"2019-04-01"
"seaside pea",1,"2019-04-01"
"Slender Path Rush",1,"2019-04-01"
"smooth brome",1,"2019-04-01"
"Soft Rush",1,"2019-04-01"
"spotted knapweed",1,"2019-04-01"
"switchgrass",1,"2019-04-01"
"white avens",1,"2019-04-01"
"white meadowsweet",1,"2019-04-01"
"white spruce",1,"2019-04-01"
"American beech",1,"2019-04-02"
"bigtooth aspen",1,"2019-04-02"
"Canadian bunchberry",1,"2019-04-02"
"common motherwort",1,"2019-04-02"
"eastern white pine",1,"2019-04-02"
"European beech",1,"2019-04-02"
"flat-branched tree-clubmoss",1,"2019-04-02"
"Forbes' Glory-of-the-snow",1,"2019-04-02"
"Jack pine",1,"2019-04-02"
"lesser periwinkle",1,"2019-04-02"
"riverbank grape",1,"2019-04-02"
"Saltwort",1,"2019-04-02"
"stag's-horn clubmoss",1,"2019-04-02"
"white oak",1,"2019-04-02"
"wild garlic",1,"2019-04-02"
"balsam fir",1,"2019-04-03"
"Chinese money plant",1,"2019-04-03"
"Dutch Yellow Crocus",1,"2019-04-03"
"eastern white pine",1,"2019-04-03"
"European Cyclamen",1,"2019-04-03"
"hairy bittercress",2,"2019-04-03"
"jetbead",1,"2019-04-03"
"northern whitecedar",4,"2019-04-03"
"Peace Lily",1,"2019-04-03"
"shepherd's-purse",1,"2019-04-03"
"Spring Crocus",1,"2019-04-03"
"tamarack",1,"2019-04-03"
"tomato",1,"2019-04-03"
"white spruce",1,"2019-04-03"
"winged euonymus",1,"2019-04-03"
"Winter Aconite",2,"2019-04-03"
"common lilac",1,"2019-04-04"
"common snowdrop",2,"2019-04-04"
"eastern skunk cabbage",1,"2019-04-04"
"Golden Pothos",1,"2019-04-04"
"hairy bittercress",1,"2019-04-04"
"honey locust",1,"2019-04-04"
"narrow-leaved bittercress",1,"2019-04-04"
"red pine",1,"2019-04-04"
"Woodland crocus",1,"2019-04-04"
"American beech",1,"2019-04-05"
"American bittersweet",1,"2019-04-05"
"black locust",1,"2019-04-05"
"eastern prickly pear",1,"2019-04-05"
"Garden Grape-hyacinth",1,"2019-04-05"
"harbinger of spring",1,"2019-04-05"
"pussy willow",1,"2019-04-05"
"red maple",1,"2019-04-05"
"round-lobed hepatica",1,"2019-04-05"
"rue anemone",1,"2019-04-05"
"sessile-flowered trilliums",1,"2019-04-05"
"small white leek",1,"2019-04-05"
"Spring Snowflake",1,"2019-04-05"
"wild garlic",1,"2019-04-05"
"Winter Aconite",1,"2019-04-05"
"yellow trout lily",1,"2019-04-05"
"Allegheny blackberry",1,"2019-04-06"
"American bladdernut",1,"2019-04-06"
"American sycamore",2,"2019-04-06"
"balsam fir",1,"2019-04-06"
"black spruce",1,"2019-04-06"
"bull thistle",1,"2019-04-06"
"canadian bluejoint",1,"2019-04-06"
"Canadian bunchberry",1,"2019-04-06"
"common evening-primrose",1,"2019-04-06"
"common milkweed",1,"2019-04-06"
"common reed",1,"2019-04-06"
"common snowdrop",1,"2019-04-06"
"Cornelian cherry",1,"2019-04-06"
"crimson fountain grass",1,"2019-04-06"
"eastern skunk cabbage",13,"2019-04-06"
"Eastern Teaberry",2,"2019-04-06"
"eastern white pine",1,"2019-04-06"
"European lily of the valley",2,"2019-04-06"
"fan clubmoss",1,"2019-04-06"
"Flat-top Bogmoss",1,"2019-04-06"
"fringed polygala",1,"2019-04-06"
"garlic mustard",1,"2019-04-06"
"Greater celandine",1,"2019-04-06"
"greater snowdrop",1,"2019-04-06"
"Haircap Moss",1,"2019-04-06"
"hairy bittercress",2,"2019-04-06"
"hemp dogbane",1,"2019-04-06"
"Jack pine",2,"2019-04-06"
"Labrador tea",1,"2019-04-06"
"leatherleaf",1,"2019-04-06"
"lesser periwinkle",2,"2019-04-06"
"lowbush blueberry",1,"2019-04-06"
"Mountain holly",1,"2019-04-06"
"musk thistle",1,"2019-04-06"
"Narrow-panicle Rush",1,"2019-04-06"
"New York Scalewort",1,"2019-04-06"
"Northern Peatmoss",1,"2019-04-06"
"Norway spruce",1,"2019-04-06"
"Ostrich-plume Moss",1,"2019-04-06"
"paper birch",1,"2019-04-06"
"pipsissewa",1,"2019-04-06"
"pointed broom sedge",1,"2019-04-06"
"prickly tree-clubmoss",1,"2019-04-06"
"purple pitcher plant",1,"2019-04-06"
"pussy willow",2,"2019-04-06"
"Redshank",1,"2019-04-06"
"rock polypody",1,"2019-04-06"
"round-lobed hepatica",1,"2019-04-06"
"sharp-lobed hepatica",1,"2019-04-06"
"shining pondweed",1,"2019-04-06"
"Showy Bristle Moss",1,"2019-04-06"
"Siberian squill",3,"2019-04-06"
"small white leek",1,"2019-04-06"
"Striped Squill",1,"2019-04-06"
"swamp alder",1,"2019-04-06"
"swamp milkweed",1,"2019-04-06"
"tamarack",2,"2019-04-06"
"threeleaf goldthread",1,"2019-04-06"
"trailing arbutus",1,"2019-04-06"
"Tree Fringewort",1,"2019-04-06"
"white mulberry",1,"2019-04-06"
"white spruce",1,"2019-04-06"
"White-grained Mountain-ricegrass",1,"2019-04-06"
"Yellow Iris",2,"2019-04-06"
"American sycamore",1,"2019-04-07"
"balsam fir",1,"2019-04-07"
"basswood",1,"2019-04-07"
"bearberry",1,"2019-04-07"
"Beautiful Branch Moss",1,"2019-04-07"
"bird's-eye speedwell",1,"2019-04-07"
"bittersweet nightshade",1,"2019-04-07"
"black medick",1,"2019-04-07"
"black spruce",1,"2019-04-07"
"bog cranberry",1,"2019-04-07"
"Britton's Scalewort",1,"2019-04-07"
"broadleaf cattail",1,"2019-04-07"
"Christmas-rose",1,"2019-04-07"
"common buckthorn",1,"2019-04-07"
"Common Haircap",1,"2019-04-07"
"common ivy",2,"2019-04-07"
"common lilac",1,"2019-04-07"
"common milkweed",1,"2019-04-07"
"Common Snowberry",1,"2019-04-07"
"common snowdrop",1,"2019-04-07"
"common St. John's-wort",1,"2019-04-07"
"Creeping Snowberry",1,"2019-04-07"
"curlycup gumweed",1,"2019-04-07"
"eastern hemlock",1,"2019-04-07"
"Eastern Teaberry",1,"2019-04-07"
"Flat-brocade Moss",1,"2019-04-07"
"fragrant wood fern",1,"2019-04-07"
"Greater celandine",1,"2019-04-07"
"guelder-rose",1,"2019-04-07"
"Haircap Moss",1,"2019-04-07"
"hairy bittercress",2,"2019-04-07"
"Hairy Goldenrod",1,"2019-04-07"
"intermediate wood fern",1,"2019-04-07"
"Jack pine",1,"2019-04-07"
"Labrador tea",1,"2019-04-07"
"leatherleaf",1,"2019-04-07"
"Magellan's Peatmoss",1,"2019-04-07"
"marginal wood fern",1,"2019-04-07"
"narrowleaf pinweed",1,"2019-04-07"
"northern bush honeysuckle",2,"2019-04-07"
"northern whitecedar",2,"2019-04-07"
